model,dataset,version,losses/val_loss,val_metrics/accuracy,val_metrics/f1,val_metrics/miou,val_metrics/precision,val_metrics/recall,losses/test_loss,test_metrics/accuracy,test_metrics/f1,test_metrics/miou,test_metrics/precision,test_metrics/recall
unetpp,deadtrees,v13,0.1249138116836547,0.908605456352234,0.9028337597846984,0.7365161180496216,0.8972632884979248,0.908605456352234,0.0776393115520477,0.9273921251296996,0.9217184782028198,0.7421533465385437,0.9162206649780272,0.9273921251296996
unet,deadtrees,v13,0.1280007511377334,0.92314213514328,0.9010851979255676,0.7375268340110779,0.8817440271377563,0.92314213514328,0.0787255764007568,0.9350090026855468,0.9205281734466552,0.7404692769050598,0.9071474075317384,0.9350090026855468
deeplab,deadtrees,v13,0.12877441942691803,0.9080950021743774,0.9010850191116333,0.7297194004058838,0.8943712711334229,0.9080950021743774,0.08357449620962143,0.9135113954544067,0.9157560467720032,0.7238080501556396,0.91802978515625,0.9135113954544067
segformer,deadtrees,v13,0.1617436408996582,0.8822012543678284,0.8738338947296143,0.691014289855957,0.8659180998802185,0.8822012543678284,0.1163333803415298,0.8984721899032593,0.8838788270950317,0.6912451386451721,0.8705099821090698,0.8984721899032593
segnet,deadtrees,v13,0.1843758225440979,0.8850497007369995,0.8679593801498413,0.6735398173332214,0.852694034576416,0.8850497007369995,0.1092654317617416,0.9043352603912354,0.8909431099891663,0.687244713306427,0.8785696625709534,0.9043352603912354
upernet,deadtrees,v13,0.1844773590564727,0.8788553476333618,0.8607985973358154,0.6735885143280029,0.8448091745376587,0.8788553476333618,0.1186958402395248,0.8994815349578857,0.8816428184509277,0.6758188605308533,0.8656138181686401,0.8994815349578857
dpt,deadtrees,v13,0.2007301747798919,0.8762844800949097,0.8569941520690918,0.6595186591148376,0.8400724530220032,0.8762844800949097,0.1328569203615188,0.8704947829246521,0.8690911531448364,0.674521803855896,0.8677002191543579,0.8704947829246521
swin,deadtrees,v13,0.2015477269887924,0.9181281328201294,0.865707516670227,0.6947571039199829,0.8277530670166016,0.9181281328201294,0.1599596589803695,0.9203940629959106,0.8619585037231445,0.6724194288253784,0.820300817489624,0.9203940629959106
deeplab,deadtrees,v14,0.08862993121147156,0.9207566976547241,0.901300847530365,0.7446590065956116,0.8839842677116394,0.9207566976547241,0.05595101788640022,0.926970362663269,0.9228683114051819,0.7412213087081909,0.9188586473464966,0.926970362663269
unet,deadtrees,v14,0.1289700716733932,0.9002864360809326,0.9031189680099488,0.7431885004043579,0.9060022830963136,0.9002864360809326,0.0826416835188865,0.9089173078536988,0.9187932014465332,0.7337631583213806,0.929250955581665,0.9089173078536988
unetpp,deadtrees,v14,0.0864888057112693,0.9145389795303344,0.9023065567016602,0.7432535886764526,0.8909489512443542,0.9145389795303344,0.0564908422529697,0.9201959371566772,0.9176948070526124,0.7331190705299377,0.9152288436889648,0.9201959371566772
segformer,deadtrees,v14,0.1000373661518096,0.9208834171295166,0.8875460624694824,0.7303988337516785,0.8602811694145203,0.9208834171295166,0.0730769038200378,0.9279580116271972,0.8969175815582275,0.7328370213508606,0.8708223104476929,0.9279580116271972
upernet,deadtrees,v14,0.1026364490389823,0.8979464769363403,0.8803654313087463,0.7067534923553467,0.8646464347839355,0.8979464769363403,0.0687376856803894,0.9171812534332277,0.9005708694458008,0.7104910016059875,0.8854647874832153,0.9171812534332277
segnet,deadtrees,v14,0.0984910726547241,0.874528706073761,0.8760565519332886,0.6836339235305786,0.8776003122329712,0.874528706073761,0.0733509883284568,0.8934482336044312,0.8975571393966675,0.6884956359863281,0.9017696380615234,0.8934482336044312
dpt,deadtrees,v14,0.0936644151806831,0.8782262802124023,0.8820717334747314,0.6839993596076965,0.8860172033309937,0.8782262802124023,0.0623023100197315,0.8955503702163696,0.8993874788284302,0.6841453313827515,0.9033142924308776,0.8955503702163696
