model,dataset,version,losses/val_loss,val_metrics/accuracy,val_metrics/f1,val_metrics/miou,val_metrics/precision,val_metrics/recall,losses/test_loss,test_metrics/accuracy,test_metrics/f1,test_metrics/miou,test_metrics/precision,test_metrics/recall
unetpp,loveda,v14,0.9111007452011108,0.5614343881607056,0.5670577883720398,0.322829008102417,0.5814852714538574,0.5614343881607056,0.9193087816238403,0.565493106842041,0.5710474252700806,0.3296831548213959,0.5863724946975708,0.565493106842041
unetpp,loveda,v13,0.3424072861671448,0.5893460512161255,0.5893080830574036,0.36187276244163513,0.6024004220962524,0.5893460512161255,0.34357574582099915,0.5938946008682251,0.5923188328742981,0.3753507435321808,0.6023058295249939,0.5938946008682251
unet,loveda,v14,0.9458378553390503,0.5511071681976318,0.5664368867874146,0.3338097035884857,0.6004007458686829,0.5511071681976318,0.9451102614402771,0.5611292123794556,0.5782394409179688,0.34311237931251526,0.6129447221755981,0.5611292123794556
unet,loveda,v13,0.37858346104621887,0.5170955657958984,0.5163468718528748,0.35589712858200073,0.5271660685539246,0.5170955657958984,0.38178351521492004,0.52333003282547,0.5212342739105225,0.3646995723247528,0.5269577503204346,0.52333003282547
segnet,loveda,v14,2.6049110889434814,0.32444941997528076,0.3109211325645447,0.1629011183977127,0.32727164030075073,0.32444941997528076,2.270505666732788,0.3350689709186554,0.3205372989177704,0.16929638385772705,0.34056356549263,0.3350689709186554
segnet,loveda,v13,0.4304314851760864,0.4803837537765503,0.4842570424079895,0.24963518977165222,0.5324366092681885,0.4803837537765503,0.4260120093822479,0.4912976026535034,0.5002377033233643,0.2647187113761902,0.5403265953063965,0.4912976026535034
dpt,loveda,v14,1.0903488397598267,0.5727052688598633,0.5903478860855103,0.37232980132102966,0.6326273679733276,0.5727052688598633,1.1076033115386963,0.5740183591842651,0.5889617204666138,0.38028600811958313,0.6340973377227783,0.5740183591842651
dpt,loveda,v13,0.3617696762084961,0.573032021522522,0.5887091159820557,0.3660373091697693,0.6138205528259277,0.573032021522522,0.35812485218048096,0.5797200798988342,0.5974171161651611,0.37541937828063965,0.6255744695663452,0.5797200798988342
segformer,loveda,v14,1.4179823398590088,0.5696197748184204,0.58514404296875,0.3644316792488098,0.6094074249267578,0.5696197748184204,1.348747968673706,0.5751311779022217,0.5909116268157959,0.37337127327919006,0.6156604290008545,0.5751311779022217
segformer,loveda,v13,0.3373449742794037,0.5949190258979797,0.6027973890304565,0.3785020411014557,0.6229222416877747,0.5949190258979797,0.34247472882270813,0.5956714153289795,0.6036138534545898,0.3820735812187195,0.6262012720108032,0.5956714153289795
upernet,loveda,v14,1.11674165725708,0.5050061941146851,0.5217801332473755,0.29901495575904846,0.5855678915977478,0.5050061941146851,1.0613603591918945,0.5120998620986938,0.5271850824356079,0.3123700022697449,0.6006290912628174,0.5120998620986938
upernet,loveda,v13,0.37217798829078674,0.5519531965255737,0.5606231689453125,0.3279474675655365,0.5837703943252563,0.5519531965255737,0.3702411949634552,0.5590366125106812,0.5727533102035522,0.34016159176826477,0.601571798324585,0.5590366125106812
swin,loveda,v13,2.2533576488494873,0.557878851890564,0.5767055749893188,0.3560824990272522,0.6241048574447632,0.557878851890564,2.163780450820923,0.557595431804657,0.5779077410697937,0.36660975217819214,0.6339259147644043,0.557595431804657
