model,dataset,version,losses/val_loss,val_metrics/accuracy,val_metrics/f1,val_metrics/miou,val_metrics/precision,val_metrics/recall,losses/test_loss,test_metrics/accuracy,test_metrics/f1,test_metrics/miou,test_metrics/precision,test_metrics/recall
unetpp,vaihingen,v1,0.17637121677398682,0.7072716951370239,0.7120780348777771,0.6804218292236328,0.7177203893661499,0.7072716951370239,0.2182905077934265,0.7063632607460022,0.7061814069747925,0.6771343350410461,0.8196306824684143,0.7063632607460022
unetpp,vaihingen,v2,0.5146292448043823,0.7056490182876587,0.7078009247779846,0.6513391137123108,0.711007833480835,0.7056490182876587,0.6714358329772949,0.7014220952987671,0.697510838508606,0.6646120548248291,0.6967974901199341,0.7014220952987671
unet,vaihingen,v1,0.22946372628211975,0.7194461822509766,0.704430103302002,0.6684080958366394,0.6932187676429749,0.7194461822509766,0.2509029507637024,0.7310812473297119,0.6998896598815918,0.6672384738922119,0.6738784313201904,0.7310812473297119
unet,vaihingen,v2,0.4868500828742981,0.7126519680023193,0.7086125612258911,0.6787319183349609,0.7050374150276184,0.7126519680023193,0.6681032776832581,0.7091053128242493,0.7013113498687744,0.6694685816764832,0.6959671378135681,0.7091053128242493
segnet,vaihingen,v1,0.2789185047149658,0.611700177192688,0.6213502883911133,0.5131456851959229,0.6441266536712646,0.611700177192688,0.3273082375526428,0.5926415920257568,0.6003563404083252,0.4881267845630646,0.642244815826416,0.5926415920257568
segnet,vaihingen,v2,0.5858351588249207,0.542333722114563,0.5360813140869141,0.4768425524234772,0.5309689044952393,0.542333722114563,0.6986515522003174,0.531710684299469,0.5195884108543396,0.43665799498558044,0.5130221843719482,0.531710684299469
segformer,vaihingen,v1,0.19986285269260406,0.693964958190918,0.6957346200942993,0.6542516350746155,0.7011982202529907,0.693964958190918,0.24307602643966675,0.6779053211212158,0.6816555261611938,0.6402285099029541,0.6952617168426514,0.6779053211212158
segformer,vaihingen,v2,0.4832596182823181,0.6739501953125,0.6809215545654297,0.6228968501091003,0.6936279535293579,0.6739501953125,0.6673392057418823,0.6881127953529358,0.672213077545166,0.5748018026351929,0.6750494241714478,0.6881127953529358
upernet,vaihingen,v1,0.3257656693458557,0.5682252645492554,0.5886459946632385,0.5076943635940552,0.6353847980499268,0.5682252645492554,0.3562145531177521,0.5902090668678284,0.5800222158432007,0.4583543539047241,0.6083804965019226,0.5902090668678284
upernet,vaihingen,v2,0.639548659324646,0.498026579618454,0.4947218596935272,0.42573854327201843,0.6031098961830139,0.498026579618454,0.7618376612663269,0.48934632539749146,0.47411638498306274,0.3725193440914154,0.6205841302871704,0.48934632539749146
swin,vaihingen,v1,0.6038692593574524,0.7028069496154785,0.7032887935638428,0.6647122502326965,0.70400071144104,0.7028069496154785,0.8336563110351562,0.695105791091919,0.6931276321411133,0.6016919016838074,0.6942166090011597,0.695105791091919
